,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,caption,ner_gender,ner_articleType,ner_color,ner_brand,ner_product_attributes,gender_match,articleType_match,color_match
0,15970,men,Apparel,Topwear,shirts,navy blue,Fall,2011.0,Casual,Turtle Check Men Navy Blue Shirt,men,shirt,navy blue,turtle,check,True,False,True
1,39386,men,Apparel,Bottomwear,jeans,blue,Summer,2012.0,Casual,Peter England Men Party Blue Jeans,men,,blue,peter england,party,True,False,True
2,59263,women,Accessories,Watches,watches,silver,Winter,2016.0,Casual,Titan Women Silver Watch,women,watch,silver,titan,,True,False,True
3,21379,men,Apparel,Bottomwear,track pants,black,Fall,2011.0,Casual,Manchester United Men Solid Black Track Pants,men,track pant,black,manchester united,solid,True,False,True
4,53759,men,Apparel,Topwear,tshirts,grey,Summer,2012.0,Casual,Puma Men Grey T-shirt,men,shirt,grey,puma,t -,True,False,True
5,1855,men,Apparel,Topwear,tshirts,grey,Summer,2011.0,Casual,Inkfruit Mens Chain Reaction T-shirt,men,t shirt,,inkfruit,chain reaction -,True,False,False
6,30805,men,Apparel,Topwear,shirts,green,Summer,2012.0,Ethnic,Fabindia Men Striped Green Shirt,men,shirt,green,fabindia,stripe,True,False,True
7,26960,women,Apparel,Topwear,shirts,purple,Summer,2012.0,Casual,Jealous 21 Women Purple Shirt,women,shirt,purple,,jealous,True,False,True
8,29114,men,Accessories,Socks,socks,navy blue,Summer,2012.0,Casual,Puma Men Pack of 3 Socks,men,,,puma,pack sock,True,False,False
9,30039,men,Accessories,Watches,watches,black,Winter,2016.0,Casual,Skagen Men Black Watch,men,watch,black,skagen,,True,False,True
10,9204,men,Footwear,Shoes,casual shoes,black,Summer,2011.0,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,men,casual shoe,black,puma,future cat remix sf,True,False,True
11,48123,women,Accessories,Belts,belts,black,Summer,2012.0,Casual,Fossil Women Black Huarache Weave Belt,women,belt,black,fossil,huarache weave,True,False,True
12,18653,men,Footwear,Flip Flops,flip flops,black,Fall,2011.0,Casual,Fila Men Cush Flex Black Slippers,men,,black,fila,,True,False,True
13,47957,women,Accessories,Bags,handbags,blue,Summer,2012.0,Casual,Murcia Women Blue Handbag,women,handbag,blue,murcia,,True,False,True
14,46885,boys,Footwear,Flip Flops,flip flops,navy blue,Fall,2012.0,Casual,Ben 10 Boys Navy Blue Slippers,boys,,navy blue,ben,,True,False,True
15,12369,men,Apparel,Topwear,shirts,purple,Fall,2011.0,Formal,Reid & Taylor Men Check Purple Shirts,men,shirt,purple,reid taylor,check,True,False,True
16,29928,men,Accessories,Watches,watches,black,Winter,2016.0,Casual,Police Men Black Dial Watch PL12889JVSB,men,watch,black,police,dial,True,False,True
17,42419,girls,Apparel,Topwear,tops,white,Summer,2012.0,Casual,Gini and Jony Girls Knit White Top,girls,,white,gini jony,knit,True,False,True
18,51832,women,Apparel,Innerwear,bra,beige,Summer,2016.0,Casual,Bwitch Beige Full-Coverage Bra BW335,,bra,beige,bwitch,- coverage,False,True,True
19,47359,women,Accessories,Bags,handbags,brown,Summer,2012.0,Casual,Baggit Women Brown Handbag,women,handbag,brown,baggit,,True,False,True
20,17429,men,Accessories,Watches,watches,black,Winter,2016.0,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,men,watch,black,casio -,,True,False,True
21,12967,men,Footwear,Sandal,sandals,black,Fall,2011.0,Casual,ADIDAS Men Spry M Black Sandals,men,sandal,black,adida,spry m,True,False,True
22,6842,unisex,Accessories,Shoe Accessories,shoe accessories,black,Summer,2011.0,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories,unisex,,,timberland,rubber sole brush,True,False,False
23,13089,men,Apparel,Topwear,sweatshirts,grey,Fall,2011.0,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,men,sweatshirt,grey,adida,lfc auth hood,True,False,True
24,18461,men,Personal Care,Fragrance,deodorant,white,Spring,2017.0,Casual,David Beckham Signature Men Deos,men,,,david beckham,,True,False,False
25,9036,men,Footwear,Shoes,formal shoes,black,Winter,2011.0,Formal,Buckaroo Men Flores Black Formal Shoes,men,formal shoe,black,buckaroo,flore,True,False,True
26,48311,women,Accessories,Jewellery,bracelet,bronze,Winter,2012.0,Casual,Pitaraa Women Bronze Beaded Bracelet,women,bracelet,bronze,pitaraa,bead,True,True,True
27,7990,men,Apparel,Topwear,tshirts,navy blue,Fall,2011.0,Sports,Fila Men's Round Neck Navy Blue T-shirt,men,shirt,navy blue,fila,,True,False,True
